应用id,名字,标题,图标,封面,地址,描述,分类,是否公开,"打开方式(正常:normal,最小化:Minimize,最大化:Maximize,外部:outer)",是否可调窗口,默认窗口宽度,默认窗口高度
20018,谷歌插件,谷歌插件,/assets/desktop/icons/desktop/chrome_store.ico,/assets/desktop/icons/desktop/chrome_store.ico,https://chrome.zzzmh.cn,还在为国内无法访问谷歌商店烦恼吗？来试试吧。,工具,TRUE,normal,TRUE,800,600
20019,crx搜搜,浏览器插件,/assets/desktop/icons/desktop/crx搜搜.png,/assets/desktop/icons/desktop/crx搜搜.png,https://www.crxsoso.com,浏览器支持crx插件都能用。,工具,TRUE,normal,TRUE,800,600
20020,MikuTap,MikuTap,/assets/desktop/icons/desktop/mikutap.jpeg,/assets/desktop/icons/desktop/mikutap.jpeg,/apps/mikutap/,好玩不解释。,娱乐,TRUE,normal,TRUE,800,600
20021,原神,原神,https://webstatic.mihoyo.com/common/clgm-web-app/ys/ico/favicon_128.5.4.0.ico,https://webstatic.mihoyo.com/common/clgm-web-app/ys/ico/favicon_128.5.4.0.ico,https://ys.mihoyo.com/cloud/#/,好玩不解释。,娱乐,TRUE,outer,TRUE,800,600
20022,星穹铁道,星穹铁道,https://webstatic.mihoyo.com/common/clgm-web-app/sr/ico/favicon_128.3.0.0.ico,https://webstatic.mihoyo.com/common/clgm-web-app/sr/ico/favicon_128.3.0.0.ico,https://sr.mihoyo.com/cloud/?utm_source=official#/,好玩不解释。,娱乐,TRUE,normal,TRUE,800,600
20023,网易云游戏,网易云游戏,https://ts4.cn.mm.bing.net/th?id=ODLS.6257e05a-f7fd-4bf1-9dba-6b57752fe63d&w=32&h=32&qlt=90&pcl=fffffa&o=6&pid=1.2,https://ts4.cn.mm.bing.net/th?id=ODLS.6257e05a-f7fd-4bf1-9dba-6b57752fe63d&w=32&h=32&qlt=90&pcl=fffffa&o=6&pid=1.2,https://cg.163.com,网易云游戏。,娱乐,TRUE,normal,TRUE,800,600
20024,GoDot,GoDot（开源游戏引擎）,/apps/godot/favicon.png,/apps/godot/favicon.png,/apps/godot/,GoDot游戏引擎。,工具,TRUE,normal,TRUE,400,400
20026,IT工具箱,IT工具箱,https://it-tools.tech/favicon-16x16.png,https://it-tools.tech/favicon-16x16.png,https://it-tools.tech,程序员常用工具。,工具,TRUE,normal,FALSE,800,600
20027,西游云,西游云,/assets/desktop/icons/desktop/vpn.jpg,/assets/desktop/icons/desktop/vpn.jpg,https://t.xiyou.me/#/register?code=VcNZC3Wt,VPN工具,工具,TRUE,normal,FALSE,800,600
20028,Flow阅读器,Flow阅读器,https://app.flowoss.com/icons/192.png,https://app.flowoss.com/icons/192.png,https://app.flowoss.com/zh-CN,阅读器,工具,TRUE,normal,FALSE,800,600
20029,Koodo阅读器,Koodo阅读器,https://web.koodoreader.com/favicon.png,https://web.koodoreader.com/favicon.png,https://web.koodoreader.com/#/manager/home,阅读器,工具,TRUE,normal,FALSE,800,600
20030,亲戚计算器,亲戚计算器,/assets/desktop/icons/desktop/calc2.png,/assets/desktop/icons/desktop/calc2.png,https://widget.codelife.cc/relationship/index.html?sdk_from=itab&token=&theme=light,计算器,工具,TRUE,normal,FALSE,800,600
20031,格式转换,格式转换,https://www.67tool.com/favicon.ico,https://www.67tool.com/favicon.ico,https://www.67tool.com/video/convert?to=mp4&type=all&sdk_from=itab&is_member=0,格式转换,工具,TRUE,normal,FALSE,800,600
20032,FA图标库,FA图标库,https://fontawesome.p2hp.com/favicon.ico,https://fontawesome.p2hp.com/favicon.ico,https://fontawesome.p2hp.com/faicons.html,网站常用图标库,工具,TRUE,normal,FALSE,800,600
